code,name,return_code,notes
CE-32698-8,SCE_AUDIODEC_ERROR_AC3_INVALID_OUTPUT_CHANNEL_ROUTING,0X807F040A,Specified invalid output channel routing of Dolby Digital
CE-32699-9,SCE_AUDIODEC_ERROR_M2BC_INVALID_DOWNMIX,0X807F0A00,Specified invalid downmix flag of MPEG2-BC
CE-32700-2,SCE_AUDIODEC_ERROR_AT9_INVALID_CONFIG_DATA,0X807F1000,Specified invalid ConfigData of ATRAC9
CE-32701-3,SCE_AUDIODEC_ERROR_TRHD_INVALID_PRESENTATION_MODE,0X807F2000,Specified invalid presentationMode of Dolby TrueHD
CE-32702-4,SCE_AUDIODEC_ERROR_TRHD_INVALID_LOSSLESS,0X807F2001,Specified invalid lossless of Dolby TrueHD
CE-32703-5,SCE_AUDIODEC_ERROR_TRHD_INVALID_DRC_ENABLE,0X807F2002,Specified invalid drcEnable of Dolby TrueHD
CE-32704-6,SCE_AUDIODEC_ERROR_TRHD_INVALID_DRC_CUT,0X807F2003,Specified invalid drcCut of Dolby TrueHD
CE-32705-7,SCE_AUDIODEC_ERROR_TRHD_INVALID_DRC_BOOST,0X807F2004,Specified invalid drcBoost of Dolby TrueHD
CE-32706-8,SCE_AUDIODEC_ERROR_TRHD_INVALID_NFRAME_DECODE,0X807F2005,Specified invalid nFrameDecode of Dolby TrueHD
CE-32707-9,SCE_ULT_ERROR_NULL,0X80810001,The specified pointer is NULL.
CE-32708-0,SCE_ULT_ERROR_ALIGNMENT,0X80810002,The alignment restrictions are not met.
CE-32709-1,SCE_ULT_ERROR_RANGE,0X80810003,The specified value is out of range.
CE-32710-3,SCE_ULT_ERROR_INVALID,0X80810004,The specified argument value is invalid.
CE-32711-4,SCE_ULT_ERROR_PERMISSION,0X80810005,This is an unauthorized operation.
CE-32712-5,SCE_ULT_ERROR_STATE,0X80810006,The current state does not allow application of this operation.
CE-32713-6,SCE_ULT_ERROR_BUSY,0X80810007,The resource cannot be used.
CE-32714-7,SCE_ULT_ERROR_AGAIN,0X80810008,Execution of this operation is temporarily not possible.
CE-32715-8,SCE_ULT_ERROR_FATAL,0X80810009,A fatal error occurred.
CE-32716-9,SCE_ULT_ERROR_NOT_INITIALIZE,0X8081000A,This library is not initialized.
CE-32717-0,SCE_FIOS_ERROR_UNIMPLEMENTED,0X80820000,Not implemented
CE-32718-1,SCE_FIOS_ERROR_CANT_ALLOCATE_OP,0X80820001,Out of memory in opStorage
CE-32719-2,SCE_FIOS_ERROR_CANT_ALLOCATE_FH,0X80820002,Out of memory in fhStorage
CE-32720-4,SCE_FIOS_ERROR_CANT_ALLOCATE_DH,0X80820003,Out of memory in dhStorage
CE-32721-5,SCE_FIOS_ERROR_CANT_ALLOCATE_CHUNK,0X80820004,Out of memory in chunkStorage
CE-32722-6,SCE_FIOS_ERROR_BAD_PATH,0X80820005,File not found
CE-32723-7,SCE_FIOS_ERROR_BAD_PTR,0X80820006,An invalid pointer was given as an argument
CE-32724-8,SCE_FIOS_ERROR_BAD_OFFSET,0X80820007,An invalid offset was given as an argument
CE-32725-9,SCE_FIOS_ERROR_BAD_SIZE,0X80820008,An invalid size was given as an argument
CE-32726-0,SCE_FIOS_ERROR_BAD_IOVCNT,0X80820009,An invalid iovcnt was given as an argument
CE-32727-1,SCE_FIOS_ERROR_BAD_OP,0X8082000A,An invalid FiosOp was given as an argument
CE-32728-2,SCE_FIOS_ERROR_BAD_FH,0X8082000B,An invalid FiosFH was given as an argument
CE-32729-3,SCE_FIOS_ERROR_BAD_DH,0X8082000C,An invalid FiosDH was given as an argument
CE-32730-5,SCE_FIOS_ERROR_BAD_ALIGNMENT,0X8082000D,Invalid alignment on a pointer argument
CE-32731-6,SCE_FIOS_ERROR_NOT_A_FILE,0X8082000E,Attempted a file operation but target was a directory
CE-32732-7,SCE_FIOS_ERROR_NOT_A_DIRECTORY,0X8082000F,Attempted a directory operation but target was a file
CE-32733-8,SCE_FIOS_ERROR_EOF,0X80820010,End-of-file reached
CE-32734-9,SCE_FIOS_ERROR_TIMEOUT,0X80820011,Timeout occurred
CE-32735-0,SCE_FIOS_ERROR_CANCELLED,0X80820012,Operation was cancelled
CE-32736-1,SCE_FIOS_ERROR_ACCESS,0X80820013,Insufficient access privileges
CE-32737-2,SCE_FIOS_ERROR_DECOMPRESSION,0X80820014,Decompression failed
CE-32738-3,SCE_FIOS_ERROR_READ_ONLY,0X80820015,Attempted to write to read-only filehandle or media
CE-32739-4,SCE_FIOS_ERROR_WRITE_ONLY,0X80820016,Attempted to read from write-only filehandle
CE-32740-6,SCE_FIOS_ERROR_MEDIA_GONE,0X80820017,Media has been removed unplugged or otherwise detached
CE-32741-7,SCE_FIOS_ERROR_PATH_TOO_LONG,0X80820018,Path does not fit in buffer
CE-32742-8,SCE_FIOS_ERROR_TOO_MANY_OVERLAYS,0X80820019,Too many overlays
CE-32743-9,SCE_FIOS_ERROR_BAD_OVERLAY,0X8082001A,An invalid overlay was given as an argument
CE-32744-0,SCE_FIOS_ERROR_BAD_ORDER,0X8082001B,An invalid order was given as an argument
CE-32745-1,SCE_FIOS_ERROR_BAD_INDEX,0X8082001C,An invalid index was given. Either out of range or already in use
CE-32746-2,SCE_FIOS_ERROR_EVENT_NOT_HANDLED,0X8082001D,Callback did not handle the event
CE-32747-3,SCE_FIOS_ERROR_BUSY,0X8082001E,A FiosDHRead is already pending on this FiosDH
CE-32748-4,SCE_FIOS_ERROR_BAD_ARCHIVE,0X8082001F,Badly-formed or unsupported PSARC archive
CE-32749-5,SCE_FIOS_ERROR_BAD_RESOLVE_TYPE,0X80820020,An invalid Resolve Type was given when resolving overlays
CE-32750-7,SCE_FIOS_ERROR_BAD_FLAGS,0X80820021,Invalid flags were given as an argument
CE-32751-8,SCE_FIOS_ERROR_UNKNOWN,0X80820022,An unknown platform-specific error occurred
CE-32752-9,SCE_FIOS_ERROR_ALREADY_EXISTS,0X80820023,The file or directory already exists
CE-32753-0,SCE_JSON_ERROR_PARSE_INVALID_CHAR,0X80848101,Invalid Character
CE-32754-1,SCE_JSON_ERROR_NOMEM,0X80848102,No Memory
CE-32755-2,SCE_JSON_ERROR_NOFILE,0X80848103,File Not Found
CE-32756-3,SCE_JSON_ERROR_NOROOT,0X80848104,Set Value No Root
CE-32757-4,SCE_JSON_ERROR_NOINIT,0X80848110,Not Initialize
CE-32758-5,SCE_JSON_ERROR_MULTIPLEINIT,0X80848111,Multiple Init
CE-32759-6,SCE_XML_ERROR_GENERIC_ERROR,0X80850000,Generic error
CE-32760-8,SCE_XML_ERROR_NO_MEMORY,0X80850001,Failed to assign memory
CE-32761-9,SCE_XML_ERROR_NOT_INITIALIZED,0X80850002,Not initialized yet
CE-32762-0,SCE_XML_ERROR_INVALID_ARGUMENT,0X80850003,Invalid argument
CE-32763-1,SCE_XML_ERROR_NOT_SUPPORTED,0X80850004,Not Supported
CE-32764-2,SCE_XML_ERROR_INITIALIZE_FAILED,0X80850005,Initialize Failed
CE-32765-3,SCE_XML_ERROR_INVALID_BIN_XML,0X80850006,Invalid Binary Data
CE-32766-4,SCE_XML_ERROR_PARSER_BUSY,0X80850007,Busy Parser
CE-32767-5,SCE_XML_ERROR_XML_UNEXPEXTED_EO_F,0X80850008,Unexpected EOF
CE-32768-6,SCE_XML_ERROR_XML_SYNTAX_ERROR,0X80850009,Syntax Eroor XML
CE-32769-7,SCE_XML_ERROR_XML_END_TAG_MISMATCH,0X8085000A,Mismatch End Tag
CE-32770-9,SCE_XML_ERROR_XML_INVALID_CHAR,0X8085000B,Invalid Charactor
CE-32771-0,SCE_XML_ERROR_XML_INVALID_DEC_VALUE,0X8085000C,Invalid DEC Value
CE-32772-1,SCE_XML_ERROR_XML_INVALID_HEX_VALUE,0X8085000D,Invalid HEX Value
CE-32773-2,SCE_XML_ERROR_XML_CLOSING_ANGLE_BRACKET_CHAR_NOT_FOUND,0X8085000E,Closing Angle Bracket Char Not Found
CE-32774-3,SCE_XML_ERROR_XML_EQUALITY_CHAR_NOT_FOUND,0X8085000F,Equality Char Not Found
CE-32775-4,SCE_XML_ERROR_XML_SEMI_COLON_CHAR_NOT_FOUND,0X80850010,Semicolon Char Not Found
CE-32776-5,SCE_XML_ERROR_XML_QUOTE_CHAR_NOT_FOUND,0X80850011,Quote Char Not Found
CE-32777-6,SCE_XML_ERROR_XML_END_OF_COMMENT_NOT_FOUND,0X80850012,Comment Not Found
CE-32778-7,SCE_XML_ERROR_XML_END_OF_CD_SECT_NOT_FOUND,0X80850013,End Of CDATA Not Found
CE-32779-8,SCE_XML_ERROR_XML_END_OF_DTD_NOT_FOUND,0X80850014,End Of DTD Not Found
CE-32780-0,SCE_XML_ERROR_XML_UNKNOWN_ENCODING,0X80850015,Unknown Encoding
CE-32781-1,SCE_XML_ERROR_XML_HANDLER_NOT_SET,0X80850016,Not Set Handler
CE-32782-2,SCE_XML_ERROR_XML_INVALID_PI,0X80850017,Invalid PI
CE-32783-3,SCE_XML_ERROR_XML_INVALID_DOCUMENT_ELEMENT,0X80850018,Invalid Document Element
CE-32784-4,SCE_XML_ERROR_XML_DOCUMENT_ELEMENT_NOT_FOUND,0X80850019,Document Element Not Found
CE-32785-5,SCE_XML_ERROR_XML_DUPLICATE_ATTR_NAME,0X8085001A,Duplicate Attr Name
CE-32786-6,SCE_XML_ERROR_DOM_ERROR,0X80850200,DOM Error
CE-32787-7,SCE_XML_ERROR_DOM_NODE_NOT_FOUND,0X80850201,DOM Node Not Found
CE-32788-8,SCE_XML_ERROR_DOM_READ_ONLY_ERROR,0X80850202,DOM Read Only
CE-32789-9,SCE_XML_ERROR_DOM_MAX_UNIQUE_ELEMENT_ERROR,0X80850203,DOM Max Unique Element
CE-32790-1,SCE_XML_ERROR_DOM_MAX_UNIQUE_ATTR_ERROR,0X80850204,DOM Max Unique Attribute
CE-32791-2,SCE_XML_ERROR_DOM_MAX_NUM_OF_ATTR_ERROR,0X80850205,DOM Max Num of Attribute
CE-32792-3,SCE_XML_ERROR_DOM_MAX_SIZE_OF_ELEMENT_NAME_ERROR,0X80850206,DOM Max Size of Element Name
CE-32793-4,SCE_XML_ERROR_DOM_MAX_SIZE_OF_ATTR_NAME_ERROR,0X80850207,DOM Max Size of Attribute Name
CE-32794-5,SCE_XML_ERROR_DOM_MAX_SIZE_OF_ATTR_VALUE_ERROR,0X80850208,DOM Max Size of Attribute Value
CE-32795-6,SCE_XML_ERROR_DOM_INVALID_ENITITY,0X80850209,DOM Invalid Entity
CE-32796-7,SCE_XML_ERROR_DOM_INVALID_NODE_TYPE,0X8085020A,DOM Invalid Node Type
CE-32797-8,SCE_NP_DRM_ERROR_NOT_INITIALIZED,0X80870001,
CE-32798-9,SCE_NP_DRM_ERROR_OUT_OF_MEMORY,0X80870002,
CE-32799-0,SCE_NP_DRM_ERROR_PERM,0X80870003,
CE-32800-3,SCE_NP_DRM_ERROR_UNKNOWN_VERSION,0X80870004,
CE-32801-4,SCE_NP_DRM_ERROR_INVALID_ARG,0X80870005,
CE-32802-5,SCE_NP_DRM_ERROR_INVALID_FORMAT,0X80870006,
CE-32803-6,SCE_NP_DRM_ERROR_BROKEN_DATA,0X80870007,
CE-32804-7,SCE_NP_DRM_ERROR_NOT_FOUND,0X80870008,
CE-32805-8,SCE_NP_DRM_ERROR_MAX_ACTIVATION,0X80870009,
CE-32806-9,SCE_NP_DRM_ERROR_CONSOLE_MISMATCH,0X8087000A,
CE-32807-0,SCE_NP_DRM_ERROR_NPENV_MISMATCH,0X8087000B,"License Error // Step 1: If you have previously activated the system as your Primary PS4, go to [Settings] > [PSN] > [Activate as Your Primary PS4], deactivate, and then reactivate. Step 2: Go to [Settings] > [PSN] > [Restore Licenses],and choose the restore option. Step 3: If the error occurs again, please try again later. You can also check the status of the PSN here."
CE-32808-1,SCE_NP_DRM_ERROR_NOT_ACTIVATED,0X8087000C,
CE-32809-2,SCE_NP_DRM_ERROR_BAD_ACTIVATION,0X8087000D,
CE-32810-4,SCE_NP_DRM_ERROR_CORRUPTED_STORAGE,0X8087000E,
CE-32811-5,SCE_NP_DRM_ERROR_NOT_INCLUDE_KEYS,0X8087000F,
CE-32812-6,Missing Long Name,0X808B0001,Not enough memory to run
CE-32813-7,Missing Long Name,0X808B0002,Parameter is invalid
CE-32814-8,Missing Long Name,0X808B0003,Dictionary data is invalid
CE-32815-9,Missing Long Name,0X808B0004,Parts are incomplete
CE-32816-0,Missing Long Name,0X808B0005,Face angle is out of range
CE-32817-1,Missing Long Name,0X808B0006,Face shape is imperfect
CE-32818-2,Missing Long Name,0X808C0000,Error code indicating that Smart is not initialized yet.
CE-32819-3,Missing Long Name,0X808C0001,Error code indicating that Smart failed to allocate memory.
CE-32820-5,Missing Long Name,0X808C0002,Error code indicating that Smart is already initialized.
CE-32821-6,Missing Long Name,0X808C0003,Error code indicating that Smart is not stoped yet.
CE-32822-7,Missing Long Name,0X808C0004,Error code indicating that some of the resources are not yet
CE-32823-8,Missing Long Name,0X808C0005,Error code indicating that the given value is invalid.
CE-32824-9,Missing Long Name,0X808C0006,Error code indicating that the given pointer is invalid.
CE-32825-0,Missing Long Name,0X808C0007,Error code indicating that the input is already registered.
CE-32826-1,Missing Long Name,0X808C0008,Error code indicating that the input is not yet registered.
CE-32827-2,Missing Long Name,0X808C0009,Error code indicating that Smart is already started.
CE-32828-3,Missing Long Name,0X808C000A,Error code indicating that Smart is not started yet.
CE-32829-4,Missing Long Name,0X808C000B,Error code indicating that Smart is not ready for the request.
CE-32830-6,Missing Long Name,0X808C000C,Error code indicating that the given value/file is not
CE-32831-7,Missing Long Name,0X808C000D,Error code indicating that no target has been registered yet.
CE-32832-8,Missing Long Name,0X808C000E,Error code indicating that Smart is locked by other threads.
CE-32833-9,Missing Long Name,0X808C000F,Error code indicating that no target pack has been registered yet.
CE-32834-0,Missing Long Name,0X808C0010,Error code indicating that maximum number of registered target pack has been exceeded.
CE-32835-1,SCE_SHADER_BINARY_ERROR_INVALID_ADDR,0X80910001,Specified memory address is invalid
CE-32836-2,SCE_SHADER_BINARY_ERROR_INVALID_SIZE,0X80910002,Specified memory size is invalid
CE-32837-3,SCE_PAD_ERROR_INVALID_ARG,0X80920001,invalid argument
CE-32838-4,SCE_PAD_ERROR_INVALID_PORT,0X80920002,invalid port
CE-32839-5,SCE_PAD_ERROR_INVALID_HANDLE,0X80920003,invalid handle
CE-32840-7,SCE_PAD_ERROR_ALREADY_OPENED,0X80920004,already opened the port.
CE-32841-8,SCE_PAD_ERROR_NOT_INITIALIZED,0X80920005,library uninitialized.
CE-32842-9,SCE_PAD_ERROR_INVALID_LIGHTBAR_SETTING,0X80920006,invalid light bar setting.
CE-32843-0,SCE_PAD_ERROR_DEVICE_NOT_CONNECTED,0X80920007,device is not connected of the handle.
CE-32844-1,SCE_PAD_ERROR_FATAL,0X809200FF,fatal error
CE-32845-2,SCE_AJM_ERROR_UNKNOWN,0X80930001,Unknown error. This value should not be used.
CE-32846-3,SCE_AJM_ERROR_INVALID_CONTEXT,0X80930002,The specified AJM context does not exist.
CE-32847-4,SCE_AJM_ERROR_INVALID_INSTANCE,0X80930003,The specified AJM instance does not exist.
CE-32848-5,SCE_AJM_ERROR_INVALID_BATCH,0X80930004,The specified AJM batch does not exist.
CE-32849-6,SCE_AJM_ERROR_INVALID_PARAMETER,0X80930005,An invalid parameter was passed.
CE-32850-8,SCE_AJM_ERROR_OUT_OF_MEMORY,0X80930006,Not enough memory to perform the operation.
CE-32851-9,SCE_AJM_ERROR_OUT_OF_RESOURCES,0X80930007,Not enough resources to perform the operation.
CE-32852-0,SCE_AJM_ERROR_CODEC_NOT_SUPPORTED,0X80930008,The specified codec is not supported.
CE-32853-1,SCE_AJM_ERROR_CODEC_ALREADY_REGISTERED,0X80930009,The specified codec is already registered in the context
CE-32854-2,SCE_AJM_ERROR_CODEC_NOT_REGISTERED,0X8093000A,The specified codec is not registered in the context.
CE-32855-3,SCE_AJM_ERROR_WRONG_REVISION_FLAG,0X8093000B,The revision passed in the flags is not supported.
CE-32856-4,SCE_AJM_ERROR_FLAG_NOT_SUPPORTED,0X8093000C,One of the flags is not supported by the codec.
CE-32857-5,SCE_AJM_ERROR_BUSY,0X8093000D,The entity (instance codec...) is currently in use.
CE-32858-6,SCE_AJM_ERROR_BAD_PRIORITY,0X8093000E,The specified priority is invalid.
CE-32859-7,SCE_AJM_ERROR_IN_PROGRESS,0X8093000F,The specified batch has not completed yet.
CE-32860-9,SCE_AJM_ERROR_RETRY,0X80930010,The operation cannot be performed at the moment.
CE-32861-0,SCE_AJM_ERROR_MALFORMED_BATCH,0X80930011,The specified batch contains error.
CE-32862-1,SCE_AJM_ERROR_JOB_CREATION,0X80930012,One or more jobs failed to be added to the batch.
CE-32863-2,SCE_AJM_ERROR_INVALID_OPCODE,0X80930013,The batch contains an invalid opcode.
CE-32864-3,SCE_AJM_ERROR_PRIORITY_VIOLATION,0X80930014,The batch references an instance that is already being processed in a batch of a different priority.
CE-32865-4,SCE_AJM_ERROR_BUFFER_TOO_BIG,0X80930015,The batch references a buffer that exceeds the allowed size.
CE-32866-5,SCE_AJM_ERROR_INVALID_ADDRESS,0X80930016,The batch references a buffer that is not accessible within this process.
CE-32867-6,SCE_LNC_UTIL_ERROR_NOT_INITIALIZED,0X80940001,
CE-32868-7,SCE_LNC_UTIL_ERROR_NO_SESSION_MEMORY,0X80940002,
CE-32869-8,SCE_LNC_UTIL_ERROR_NO_APP_INFO,0X80940004,Application can not be started
CE-32870-0,SCE_LNC_UTIL_ERROR_INVALID_PARAM,0X80940005,
CE-32871-1,SCE_LNC_UTIL_ERROR_SETUP_FS_SANDBOX,0X80940006,
CE-32872-2,SCE_LNC_UTIL_ERROR_APPHOME_EBOOTBIN_NOT_FOUND,0X80940008,
CE-32873-3,SCE_LNC_UTIL_ERROR_APPHOME_PARAMSFO_NOT_FOUND,0X80940009,
CE-32874-4,SCE_LNC_UTIL_ERROR_NO_LOGIN_USER,0X8094000A,
CE-32875-5,SCE_LNC_UTIL_ERROR_DEVKIT_EXPIRED,0X8094000B,Cannot start the application // Occurs on a retail ps4 with a non married bd logic board. Apps restricted from loading however dvd playback is functional.
CE-32876-6,SCE_LNC_UTIL_ERROR_ALREADY_RUNNING,0X8094000C,
CE-32877-7,SCE_LNC_UTIL_ERROR_LAUNCH_DISABLED_BY_MEMORY_MODE,0X8094000D,
CE-32878-8,SCE_LNC_UTIL_ERROR_NO_SHELL_UI,0X8094000E,
CE-32879-9,SCE_LNC_UTIL_ERROR_NOT_ALLOWED,0X8094000F,
CE-32880-1,SCE_LNC_UTIL_ERROR_ALREADY_RUNNING_KILL_NEEDED,0X80940010,
CE-32881-2,SCE_LNC_UTIL_ERROR_ALREADY_RUNNING_SUSPEND_NEEDED,0X80940011,
CE-32882-3,SCE_LNC_UTIL_ERROR_CANNOT_RESUME_INITIAL_USER_NEEDED,0X80940012,
CE-32883-4,SCE_SSL_ERROR_OUT_OF_MEMORY,0X809517D5,Out of memory // Internal error // Turn off the PS4 and restart the system.
CE-32884-5,SCE_SSL_ERROR_BEFORE_INIT,0X8095F001,Library not initialized
CE-32885-6,SCE_SSL_ERROR_ALREADY_INITED,0X8095F002,Library has already been initialized
CE-32886-7,SCE_SSL_ERROR_BROKEN,0X8095F003,Specified data is broken
CE-32887-8,SCE_SSL_ERROR_NOT_FOUND,0X8095F004,Could not find specified element
CE-32888-9,SCE_SSL_ERROR_INVALID_FORMAT,0X8095F005,The format of the specified parameter was not appropriate
CE-32889-0,SCE_SSL_ERROR_INVALID_ID,0X8095F006,"Specified ID was not appropriate // Download has cancelled because the downloading of this content has previously been started and experienced an error. // Step 1: Go to [Notifications] > [Downloads] and check the content is on the list. Delete the content from [Options], and retry downloading the content from the Library. Step 2: If you fail downloading the content again, back up the data using USB device or PS+ online storage, and then go to Safe Mode to try ?4.Rebuild Database]. You can find more information on Safe Mode here. After the Rebuild Database is finished, bring back the data and retry your download from the Library. Step 3: If the error occurs again, go to [Settings] > [Initialization] > [Initialize PS4] and try the PS4 initialization."
CE-32890-2,SCE_SSL_ERROR_INVALID_VALUE,0X8095F007,Specified parameter was not appropriate
CE-32891-3,SCE_SSL_ERROR_OUT_OF_SIZE,0X8095F008,The size is out of predefined range
CE-32892-4,SCE_SSL_ERROR_INTERNAL,0X8095F009,Unknown error
CE-32893-5,SCE_SSL_ERROR_INVALID_CERT,0X8095F00A,Invalid certificate is specified
CE-32894-6,SCE_SSL_ERROR_CN_CHECK,0X8095F00B,Common name check of server certificate failed
CE-32895-7,SCE_SSL_ERROR_UNKNOWN_CA,0X8095F00C,Does not have certificate of RootCA that issued server certificate // An error has occured.
CE-32896-8,SCE_SSL_ERROR_NOT_AFTER_CHECK,0X8095F00D,Certificate validity period expired
CE-32897-9,SCE_SSL_ERROR_NOT_BEFORE_CHECK,0X8095F00E,Before certificate validity period
CE-32898-0,SCE_SSL_ERROR_EAGAIN,0X8095F00F,Socket is in blocking state
CE-32899-1,SCE_SSL_ERROR_FATAL_ALERT,0X8095F010,Received a fatal alert message from server
CE-32900-4,SCE_SSL_ERROR_PROHIBITED,0X8095F011,Called API with prohibited options
CE-32901-5,SCE_USER_SERVICE_ERROR_INTERNAL,0X80960001,Internal error
CE-32902-6,SCE_USER_SERVICE_ERROR_NOT_INITIALIZED,0X80960002,Not initialized
CE-32903-7,SCE_USER_SERVICE_ERROR_ALREADY_INITIALIZED,0X80960003,Already initialized
CE-32904-8,SCE_USER_SERVICE_ERROR_NO_MEMORY,0X80960004,Cannot allocate memory
CE-32905-9,SCE_USER_SERVICE_ERROR_INVALID_ARGUMENT,0X80960005,Invalid argument
CE-32906-0,SCE_USER_SERVICE_ERROR_OPERATION_NOT_SUPPORTED,0X80960006,Operation not supported
CE-32907-1,SCE_USER_SERVICE_ERROR_NO_EVENT,0X80960007,No events are available
CE-32908-2,SCE_USER_SERVICE_ERROR_NOT_LOGGED_IN,0X80960009,Not logged in
CE-32909-3,SCE_USER_SERVICE_ERROR_BUFFER_TOO_SHORT,0X8096000A,Insufficient buffer space to store information
CE-32910-5,SCE_USER_SERVICE_ERROR_TOO_MANY_LOGIN_USERS,0X80960101,
CE-32911-6,SCE_USER_SERVICE_ERROR_REGISTERED_USER_FULL,0X80960102,
CE-32912-7,SCE_USER_SERVICE_ERROR_USER_ALREADY_REGISTERED,0X80960103,
CE-32913-8,SCE_USER_SERVICE_ERROR_EVENT_REDUCED,0X80960104,
CE-32914-9,SCE_USER_SERVICE_ERROR_NO_SUCH_USER,0X80960105,
CE-32915-0,SCE_BGFT_ERROR_ALREADY_INITIALIZED,0X80990001,
CE-32916-1,SCE_BGFT_ERROR_NOT_INITIALIZED,0X80990002,
CE-32917-2,SCE_BGFT_ERROR_OUT_OF_MEMORY,0X80990003,
CE-32918-3,SCE_BGFT_ERROR_INVALID_ARGUMENT,0X80990004,
CE-32919-4,SCE_BGFT_ERROR_BROKEN_PACKET,0X80990005,
CE-32920-6,SCE_BGFT_ERROR_NOT_SUPPORTED,0X80990006,"Download cancelled because content does not need to be downloaded // Step 1: Select [OK] on the error message. Then go to [Settings] > [PSN] > [Restore License] and try restoring the licenses. Step 2: Next, go to the home screen to select the game icon. Check that the purchased item is available in the game. If you have purchased a subscription item (i.e. season pass), go to [Settings] > [PSN] > [Account Information] > [Services List] to see if the item has been activated. Step 3: If you cannot find the item, restart the PS4 system and try Step 2 again."
CE-32921-7,SCE_BGFT_ERROR_API_NOT_PERMITTED,0X80990007,
CE-32922-8,SCE_BGFT_ERROR_INTERNAL,0X80990008,
CE-32923-9,SCE_BGFT_ERROR_INVALID_APIID,0X80990009,
CE-32924-0,SCE_BGFT_ERROR_XML_FORMAT_ERROR,0X8099000A,
CE-32925-1,SCE_BGFT_ERROR_USER_CANCELLED,0X8099000B,
CE-32926-2,SCE_BGFT_ERROR_HEAP_NOMEM,0X80990011,
CE-32927-3,SCE_BGFT_ERROR_TASK_ID_INVALID_FORMAT,0X80990014,
CE-32928-4,SCE_BGFT_ERROR_TASK_DUPLICATED,0X80990015,"Download has cancelled because the downloading of this content has previously been started and experienced an error. // Step 1: Go to [Notifications] > [Downloads] and check the content is on the list. Delete the content from [Options], and retry downloading the content from the Library. Step 2: If you fail downloading the content again, back up the data using USB device or PS+ online storage, and then go to Safe Mode to try ?4.Rebuild Database]. You can find more information on Safe Mode here. After the Rebuild Database is finished, bring back the data and retry your download from the Library. Step 3: If the error occurs again, go to [Settings] > [Initialization] > [Initialize PS4] and try the PS4 initialization."
CE-32929-5,SCE_BGFT_ERROR_TASK_ENTRY_NOSPC,0X80990018,
CE-32930-7,SCE_BGFT_ERROR_TASK_NOENT,0X80990019,
CE-32931-8,SCE_BGFT_ERROR_PARAM_URI_NOENT,0X8099001B,
CE-32932-9,SCE_BGFT_ERROR_PARAM_NOENT,0X80990020,
CE-32933-0,SCE_BGFT_ERROR_PARAM_NOSPC,0X80990021,
CE-32934-1,SCE_BGFT_ERROR_PARAM_BADFILE,0X80990022,
CE-32935-2,SCE_BGFT_ERROR_PARAM_IO,0X80990023,
CE-32936-3,SCE_BGFT_ERROR_PARAM_BADSIZE,0X80990024,
CE-32937-4,SCE_BGFT_ERROR_HTTP_STATUS,0X80990027,"Failed to download data. // Step 1: Select ""Retry"" on the error message. Cancel download, and retry from the beginning. Step 2: Restart the PS4 and try your download again. Step 3: If the error persists, the network connection may be temporary busy or unstable. Cancel the download and retry after a while."
CE-32938-5,SCE_BGFT_ERROR_HTTP_CONTENT_LENGTH,0X80990028,
CE-32939-6,SCE_BGFT_ERROR_HTTP_RECV_IO,0X8099002C,
CE-32940-8,SCE_BGFT_ERROR_HTTP_RESPONSE_ERROR,0X8099002F,
CE-32941-9,SCE_BGFT_ERROR_HTTP_MIME_UNMATCH,0X80990032,
CE-32942-0,SCE_BGFT_ERROR_HTTP_UNACCEPTABLE_EXT,0X80990033,"The extension of the URL specified with ""Download a Package"" > ""Package URL"" or the extension of content_url specified with content_list.json may not be .pkg/.PKG. Check that the URL extension of the content is .pkg/.PKG"
CE-32943-1,SCE_BGFT_ERROR_HTTP_FILE_NAME,0X80990035,
CE-32944-2,SCE_BGFT_ERROR_HTTP_SSL_VERIFY,0X80990036,
CE-32945-3,SCE_BGFT_ERROR_CONTENTID_UNMATCH,0X80990038,"The Content ID specified with ""Download a Package"" >""Content ID"" or the id specified with content_list.json may not be matching the Content ID of the package file. Check the specification of ""Download a Package"" > ""Content ID"" and the Content ID of PARAM.SFO."
CE-32946-4,SCE_BGFT_ERROR_DEVICE_NOSPC,0X80990039,
CE-32947-5,SCE_BGFT_ERROR_FILE_READ_IO,0X8099003A,"Could not download the file. // Step 1: Try the Internet connection test at [Settings] > [Network] > [Test Internet Connection]. Check that the internet status is valid. Step 2: Delete the content (if it is shown in content area), and try redownloading the content from Library. Step 3: If the error occurs again, please visit our Contact page to contact SCEA for additional technical support."
CE-32948-6,SCE_BGFT_ERROR_METADATA_FILE_READ_IO,0X8099003B,
CE-32949-7,SCE_BGFT_ERROR_HTTP_RANGE,0X8099003C,
CE-32950-9,SCE_BGFT_ERROR_CONTENTTYPE_UNMATCH,0X8099003D,
CE-32951-0,SCE_BGFT_ERROR_HTTP_NOT_CONNECTED,0X80990045,
CE-32952-1,SCE_BGFT_ERROR_FATAL,0X80990050,
CE-32953-2,SCE_BGFT_ERROR_FILE_SEEK,0X80990051,
CE-32954-3,SCE_BGFT_ERROR_NOT_READY,0X80990052,
CE-32955-4,SCE_BGFT_ERROR_FILE_BROKEN,0X80990053,
CE-32956-5,SCE_BGFT_ERROR_FILE_WRITE_IO,0X80990054,
