code,name,return_code,notes
CE-30066-5,SCE_KERNEL_ERROR_ENOTEMPTY,0X80020042,Directory not empty
CE-30067-6,SCE_KERNEL_ERROR_EPROCLIM,0X80020043,Too many processes
CE-30068-7,SCE_KERNEL_ERROR_EUSERS,0X80020044,Too many users
CE-30069-8,SCE_KERNEL_ERROR_EDQUOT,0X80020045,Disc quota exceeded
CE-30070-0,SCE_KERNEL_ERROR_ESTALE,0X80020046,Stale NFS file handle
CE-30071-1,SCE_KERNEL_ERROR_EREMOTE,0X80020047,Too many levels of remote in path
CE-30072-2,SCE_KERNEL_ERROR_EBADRPC,0X80020048,RPC struct is bad
CE-30073-3,SCE_KERNEL_ERROR_ERPCMISMATCH,0X80020049,RPC version wrong
CE-30074-4,SCE_KERNEL_ERROR_EPROGUNAVAIL,0X8002004A,RPC prog. not avail
CE-30075-5,SCE_KERNEL_ERROR_EPROGMISMATCH,0X8002004B,Program version wrong
CE-30076-6,SCE_KERNEL_ERROR_EPROCUNAVAIL,0X8002004C,Bad procedure for program
CE-30077-7,SCE_KERNEL_ERROR_ENOLCK,0X8002004D,No locks available
CE-30078-8,SCE_KERNEL_ERROR_ENOSYS,0X8002004E,Function not implemented
CE-30079-9,SCE_KERNEL_ERROR_EFTYPE,0X8002004F,Inappropriate file type or format
CE-30080-1,SCE_KERNEL_ERROR_EAUTH,0X80020050,Authentication error
CE-30081-2,SCE_KERNEL_ERROR_ENEEDAUTH,0X80020051,Need authenticator
CE-30082-3,SCE_KERNEL_ERROR_EIDRM,0X80020052,Identifier removed
CE-30083-4,SCE_KERNEL_ERROR_ENOMSG,0X80020053,No message of desired type
CE-30084-5,SCE_KERNEL_ERROR_EOVERFLOW,0X80020054,Value too large to be stored in data type
CE-30085-6,SCE_KERNEL_ERROR_ECANCELED,0X80020055,Operation canceled
CE-30086-7,SCE_KERNEL_ERROR_EILSEQ,0X80020056,Illegal byte sequence
CE-30087-8,SCE_KERNEL_ERROR_ENOATTR,0X80020057,Attribute not found
CE-30088-9,SCE_KERNEL_ERROR_EDOOFUS,0X80020058,Programming error
CE-30089-0,SCE_KERNEL_ERROR_EBADMSG,0X80020059,Bad message
CE-30090-2,SCE_KERNEL_ERROR_EMULTIHOP,0X8002005A,Multihop attempted
CE-30091-3,SCE_KERNEL_ERROR_ENOLINK,0X8002005B,Link has been severed
CE-30092-4,SCE_KERNEL_ERROR_EPROTO,0X8002005C,Protocol error
CE-30093-5,SCE_KERNEL_ERROR_ENOTCAPABLE,0X8002005D,Capabilities insufficient
CE-30094-6,SCE_KERNEL_ERROR_ECAPMODE,0X8002005E,Not permitted in capability mode
CE-30095-7,SCE_KERNEL_ERROR_ENOBLK,0X8002005F,Block not ready
CE-30096-8,SCE_REGMGR_ERROR_MGR_BROKEN_MIN,0X800D0000,
CE-30097-9,SCE_REGMGR_ERROR_NONVSDATA,0X800D0001,
CE-30098-0,SCE_REGMGR_ERROR_ERRNVSDATA,0X800D0002,
CE-30099-1,SCE_REGMGR_ERROR_ERREAPHEAD,0X800D0003,
CE-30100-4,SCE_REGMGR_ERROR_ERREAPCONT,0X800D0004,
